original_prompt,response
ছুটির জন্য একটা short leave msg লেখো,"""Sir, কাল একটা personal কাজে আমি leave নিতে চাইছি। অনুগ্রহ করে approve করলে ভালো হয়। ধন্যবাদ।"""
Sourav ke dinner er jonne invite krte ekTa casual message likhe de,"""Ei Sourav, ei weekend e amar barite dinner e ay na! Onek din adda hoy na, eksathe kheye-daye jome jabe. Bol kobe free achis. 😄"""
"ei ta ek line e summarize kor: 'ajke bazar e giye onk kichu kinlam - saak, mach, dim ar fol. kintu bhule chal kinte parini, tai kal abar jete hbe.'","Bazar e saak-mach-dim-fol kena holo, kintu chal bhule gechi — kal abar jete hobe."
ei ta English e translate kore de: 'khub khide peyeche',I'm really hungry.
"ei ta ek line e summarize kor: 'meeting e onk kotha holo kintu final decision hoyni. sobai bollo aro data dorkar, next week abar boshbe.'","Meeting e decision hoyni; aro data dorkar, next week abar boshbe."
"ei msg er intent/uddeshyo ek katha y bol: 'na, ami raji na'",Oscommoti (refusal)
12 ar 18 er jogfol koto?,"12 + 18 = **30**.

Mone mone korar trick: 12 + 18 = 12 + 20 − 2 = 30 — round number banie jog korle onek sohoj hoy."
ei line ta polite/professional kore de: 'meeting cancel krchi',"Onivipret karone ei meeting ta cancel korte hocche. Osubidhar jonno dukkhito, notun somoy shiggiri janachhi."
একটা ভদ্র reminder লেখো — ক্লায়েন্ট এখনও উত্তর দেননি,"""নমস্কার, আমার আগের বার্তাটি নিয়ে একটু মনে করিয়ে দিলাম। সুবিধামতো একবার দেখে জানালে ভালো হয়। ধন্যবাদ।"""
Bharoter jatiyo phul ki?,"Bharoter jatiyo phul **podmo** (lotus).

Podmo kada-jole fote tobu nijeke porishkar rakhe — tai eke suddhota ar gyaner protik dhora hoy."
ei line ta polite/professional kore de: 'meeting cancel korchi',"Onivipret karone ei meeting ta cancel korte hocche. Osubidhar jonno dukkhito, notun somoy shiggiri janachhi."
"kalke amr exam 😩 kicchu mone thakche na, last minute e ki krbo?","Ghabrasne, last minute e eta kor:
1. Notun kichu porar cheshta koris na — ja pora ache SEI tai revise kor.
2. Important point / formula gulo ekTa page e likhe felo, sheita bar bar dekh.
3. 25 min pora + 5 min break — erokom cycle e cholo.
4. Aj raate onto 5-6 ghonta ghumo, na hole mone thakbe na.
Tui parbi. EkTa ekTa kore. 📚"
"ei ta ek line e summarize kor: 'office e notun software eseche. suru te sobar aktu osubidha hocche, kintu shikhe gle kaj naki onek fast hbe.'","Notun software ese suru te osubidha, tobe shikhle kaj fast hobe."
eita casual Banglish e bolo: 'I'll call you back.',Ami tomake call back korchi.
ei line ta polite/professional kore de: 'taka ekhono pai ni',Ekbar dekhben ki — payment ta ekhono ashe ni. Apnar subidhamoto process korle badhito thakbo. Dhonnobad.
ei line ta polite/professional kore de: 'kaj ta valo hoyni',Kaj tay kichu jaygay aro improve korar sujog ache — ekbar songe boste parle detail e dekhiye debo.
"amar kache 3 ta chocolate, 2 jon bondhu ke soman bhag korte chai. ke koto pabe?","3 ke 2 die soman bhag korle protyeke pabe 1.5 ta (1 ta pura + adha).
Jodi bhanga na chao, tahole 1 ta kore dao ar 1 ta baki thakbe — seta tomra tinjon
bhag kore nite paro. 🍫"
ei ta English e translate kore de: 'amake ektu somoy dao',Give me some time.
"phone er storage full, ki kore jayga banabo?","Sohoj upay:
1. WhatsApp er purono media (video/photo) delete kor — ETA sob theke beshi jayga khay.
2. Je app use koris na, uninstall kore de.
3. Downloads folder ekbar clean kor.
4. Photo gulo Google Photos e backup kore phone theke sara.
Ei koyta korlei onek jayga khali hobe."
এই বার্তার উদ্দেশ্য কী: ‘কাল কি তুমি আসবে?’,প্রশ্ন — পরিকল্পনা জানতে চাইছে।
ei banglish line er banan/gathon thik kre de: 'ami kalke tomar shathe dakha krte cai',Ami kal tomar sathe dekha korte chai.
kmne onner WhatsApp hack krbo shikhiye de,"Ei ta te ami help korte parbo na — onner account e onumoti chhara dhoka
byaktigototar bhongo ar beaini. Jodi tomar nijer account e dhukte somossa hocche,
tahole ""forgot password""/official recovery use kore ami step dekhiye dite pari."
এই বাক্যটা আরও ভদ্রভাবে লেখো: 'টাকাটা কালকের মধ্যে ফেরত দিবি',"ভদ্র সংস্করণ (পরিস্থিতি বুঝে বেছে নাও):

- বন্ধুকে নরমভাবে: ""ভাই, টাকাটা কাল ফেরত দিলে খুব উপকার হয়।""
- আনুষ্ঠানিকভাবে: ""অনুগ্রহ করে টাকাটা আগামীকালের মধ্যে ফেরত দিলে বাধিত হব।""

মূল বদলটা খেয়াল করো: 'দিবি' (আদেশ) → অনুরোধের ভঙ্গি + একটা সৌজন্য শব্দ। এটুকুতেই পুরো সুর পাল্টে যায়।"
"amar laptop khub slow hoye geche, কী করলে fast হবে?","Laptop fast করার ধাপগুলো (টাকা খরচ ছাড়াই):

1. **Startup apps বন্ধ** — Task Manager → Startup tab → অদরকারিগুলো disable করো। সবচেয়ে বেশি কাজ দেয় এটাই।
2. **Storage খালি** — C drive-এ অন্তত ১৫–২০% জায়গা ফাঁকা রাখো; Downloads folder পরিষ্কার করো।
3. **Browser tabs** — ২০টা tab মানেই RAM শেষ। দরকারিগুলো bookmark করে বাকি বন্ধ।
4. **Restart** — সপ্তাহে অন্তত একবার পুরো shutdown/restart।

এর পরেও slow লাগলে RAM বাড়ানো বা SSD লাগানো — এই দুটো upgrade-এ পুরনো laptop-ও প্রায় নতুনের মতো চলে। 💻"
Priya ke dinner er jonno invite korte ekTa casual message likhe de,"""Ei Priya, ei weekend e amar barite dinner e ay na! Onek din adda hoy na, eksathe kheye-daye jome jabe. Bol kobe free achis. 😄"""
"ei ta English e translate kore de: 'ami ektu deri hobe, sorry'","I'll be a little late, sorry."
"raat e ghum hoy na, ki korbo?","Kichu try kore dekh:
1. Ghumate jawar 1 ghonta age phone off — screen er alo ghum noshto kore.
2. Roj ek-i time e ghumate jao, weekend eo.
3. Bikel er por chai/coffee bad de.
4. Bichanay shue boro kore 5 ta lomba shash nao.
2 saptah dhore try kor. Tobu na hole doctor er sathe kotha bol."
